   0| 1389| 940|  22|   6|   0|   0|   0|   0|  19|   4| 545|   0| 362|   5
   0|   0| 253|   1|   6|   0|   0|   0|   0|  15|  14|  54|  21| 127|   4
   0|   0|   0| 115|  47|   0|   0|   0|  16|   0|   0|   1|   3|   0|   5
   0|   0|   4|   0|  21|   0|  16|   0|   0|   0|   0|   0|   2|   0|   0
   0|   0|   0|   0|   0|   1|   6|   0|   0|   3|   0|   4|   0|   0|   2
   0|   0|   0|   0|   0|   0|   1|   0|   0|   0|   0|   0|   0|   0|   0
   0|   0|   0|   0|   0|   0|   0| 13499|   0|   0|   0|   0|   0|   0|   0
 13498|   0|   0|   0|   0|   0|   0|   0|   0|   0|   0|   0|   0|   0|   0
   0|   0|   0|   0|   0|   0|   4|   0|   0|   3|   4|   0|   4|   0|   0
   0|  12|   0|   0|   0|   0|  44|   0|   0|   0|   4|   1|   7|   0|   2
   0|   4|   0|   0|   1|   0|  32|   0|   0|   0|   0|   0|   4|   0|   1
   0|   9|  74|   1|   0|   0|  16|   0|   0|   0|   0|   0| 113|  26|   0
   0| 588| 299|  10|   8|   0|   0|   0|   0|  16|   3|  60|   0| 111|   8
   0|   0|   0|   0|   0|   0|   0|   0|   0|   1|   0|   3|   0|   0| 515
   0|   3|   0|   0|   1|   0|   6|   0|   0|  67|   0|   2|   5|   0|   0
